question,answer,total,original_question,original_answer
77,closed set,several equivalent closed set let subset metric space set closed complement open set set closure converge within every point outside neighborhood disjoint topological definition closed set set limit therefore closed set c one whatever point x picked outside c x always isolated open set touch c possible set neither open closed interval,closed set several equivalent closed set let subset metric space set closed complement open set set closure converge within every point outside neighborhood disjoint topological definition closed set set limit therefore closed set c one whatever point x picked outside c x always isolated open set touch c possible set neither open closed interval,What is a closed set?,"There are several equivalent definitions of a closed set. Let S be a subset of a metric space. A set $S$ is closed if

1. The complement of $S$ is an open set,

2. $S$ is its own set closure,

3. Sequences/nets/filters in $S$ that converge do so within $S$,

4. Every point outside $S$ has a neighborhood disjoint from $S$.

The point-set topological definition of a closed set is a set which contains all of its limit points. Therefore, a closed set $C$ is one for which, whatever point $x$ is picked outside of $C$, $x$ can always be isolated in some open set which doesn't touch $C$.

It is possible for a set to be neither open nor closed, e.g., the half-closed interval $(0,1]$."
78,production function,production function relationship two typically physical capital labor number produced commonly used function forecast production basic form equation q l k formula q quantity produced l l amount labor typically expressed k amount physical capital input number particular machine operation perhaps factory lower case b formula total factor productivity change output result typically change result improvement efficiency technology alpha beta reflect output elasticity output elasticity change output change either labor physical capital example output elasticity physical capital k k percent output percent true output elasticity labor increase percent l output elasticity output percent,production function production function relationship two typically physical capital labor number produced commonly used function forecast production basic form equation q l k formula q quantity produced l l amount labor typically expressed k amount physical capital input number particular machine operation perhaps factory lower case b formula total factor productivity change output result typically change result improvement efficiency technology alpha beta reflect output elasticity output elasticity change output change either labor physical capital example output elasticity physical capital k k percent output percent true output elasticity labor increase percent l output elasticity output percent,What is the Cobb-Douglas production function?,"The Cobb-Douglas production function represents the relationship between two or more inputs - typically physical capital and labor - and the number of outputs that can be produced. It's a commonly used function in macroeconomics and forecast production.

The most basic form of the equation is as follows:

$Q(L,K) = A \cdot L^{\beta}\cdot K^{\alpha}$

In this formula, Q is the quantity produced from the inputs L and K. L is the amount of labor expended, which is typically expressed in hours. K represents the amount of physical capital input, such as the number of hours for a particular machine, operation, or perhaps factory. A, which appears as a lower case b in some versions of this formula, represents the total factor productivity (TFP) that measures the change in output that isn't the result of the inputs. Typically, this change in TFP is the result of an improvement in efficiency or technology. The Greek characters alpha and beta reflect the output elasticity of the inputs. Output elasticity is the change in the output that results from a change in either labor or physical capital.

For example, if the output elasticity for physical capital (K) is 0.60 and K is increased by 20 percent, then output increases by 3 percent (0.6/0.2). The same is true for the output elasticity of labor: an increase of 10 percent in L with an output elasticity of 0.40 increases the output by 4 percent (0.4/0.1).

 
"
79,coefficient,product considered relation specific factor especially constant factor term distinguished variable number measure property characteristic substance device process coefficient expansion metal,coefficient product considered relation specific factor especially constant factor term distinguished variable number measure property characteristic substance device process coefficient expansion metal,What is a coefficient?,"1 : any of the factors of a product considered in relation to a specific factor especially : a constant factor of a term as distinguished from a variable. 
2a : a number that serves as a measure of some property or characteristic (as of a substance, device, or process) coefficient of expansion of a metal."
80,binomial coefficient,binomial coefficient n k number ways unordered also known combination combinatorial number n k n k used denote binomial coefficient sometimes read n choose k correspond following n k n k true k n n k,binomial coefficient binomial coefficient n k number ways unordered also known combination combinatorial number n k n k used denote binomial coefficient sometimes read n choose k correspond following n k n k true k n n k,What is a binomial coefficient? ,"The binomial coefficient $\binom{n}{k}$ is the number of ways of picking unordered outcomes from possibilities, also known as a combination or combinatorial number. The symbols $_{n}C_{k}$ and $\binom{n}{k}$ are used to denote a binomial coefficient, and are sometimes read as ""$n$ choose $k$.""

These symbols correspond to the following:

$\binom{n}{k}$ = $\frac{n!}{k!(n-k)!}$ 
  
This only holds true while $0 \leq k < n$; in all other cases, $\binom{n}{k} = 0$."
81,average value function,average value function average height graph function average value function f x interval b given formula ave b f x x,average value function average value function average height graph function average value function f x interval b given formula ave b f x x,What is average value of function?,"The average value of a function is the average height of the graph of a function.



![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+3.41.28+PM.png)


The average value of a function $f(x)$ over the interval $[a, b]$ is given by the formula
$$
f_{\text {ave }}=\frac{1}{b-a} \int_{a}^{b} f(x) d x
$$"
82,constant function,mathematics constant function function whose output value every input value example function x constant function value x regardless input value x,constant function mathematics constant function function whose output value every input value example function x constant function value x regardless input value x,What is constant function?,"In mathematics, a constant function is a function whose (output) value is the same for every input value. For example, the function y(x) = 4 is a constant function because the value of y(x) is 4 regardless of the input value x."
83,decomposition function,decomposition process break one complex function multiple smaller solve shorter,decomposition function decomposition process break one complex function multiple smaller solve shorter,What is decomposition of function?,"Decomposition is a process by which you can break down one complex function into multiple smaller functions. By doing this, you can solve for functions in shorter, easier-to-understand pieces."
84,derivative function,derivative function f x variable x measure rate value function respect change variable derivative f respect x,derivative function derivative function f x variable x measure rate value function respect change variable derivative f respect x,What is derivative of function?,The derivative of a function y = f(x) of a variable x is a measure of the rate at which the value y of the function changes with respect to the change of the variable x. It is called the derivative of f with respect to x.
85,differentiable function,function differentiable point defined derivative point slope tangent line left approaching value slope tangent right,differentiable function function differentiable point defined derivative point slope tangent line left approaching value slope tangent right,What is differentiable function?,A function is differentiable at a point when there's a defined derivative at that point. This means that the slope of the tangent line of the points from the left is approaching the same value as the slope of the tangent of the points from the right.
86,domain function,domain function set possible function example domain f x real domain g x real except also define special whose limited,domain function domain function set possible function example domain f x real domain g x real except also define special whose limited,What is domain of function?,"The domain of a function is the set of all possible inputs for the function. For example, the domain of f(x)=x² is all real numbers, and the domain of g(x)=1/x is all real numbers except for x=0. We can also define special functions whose domains are more limited."
87,end behavior function,end behavior function f behavior graph function end behavior function trend graph look right end x left end x,end behavior function end behavior function f behavior graph function end behavior function trend graph look right end x left end x,What is end behavior of function?,"The end behavior of a function f describes the behavior of the graph of the function at the ""ends"" of the x-axis. In other words, the end behavior of a function describes the trend of the graph if we look to the right end of the x-axis (as x approaches +∞ ) and to the left end of the x-axis (as x approaches −∞ )."
88,extreme value function,extreme value function value function interval either maximum value minimum value usually distinguish local global absolute extreme,extreme value function extreme value function value function interval either maximum value minimum value usually distinguish local global absolute extreme,What is extreme value of function?,"An extreme value of a function is the largest or smallest value of the function in some interval. It can either be a maximum value, or a minimum value. We usually distinguish between local and global (or absolute) extreme values."
89,fixed point function,mathematics fixed point sometimes also known invariant point function element function domain function say c fixed point function f f c fixed point periodic point period equal one,fixed point function mathematics fixed point sometimes also known invariant point function element function domain function say c fixed point function f f c fixed point periodic point period equal one,What is fixed point of function?,"In mathematics, a fixed point (sometimes shortened to fixpoint, also known as an invariant point) of a function is an element of the function's domain that is mapped to itself by the function. That is to say, c is a fixed point of the function f if f(c) = c. ... A fixed point is a periodic point with period equal to one."
90,harmonic function,harmonic function mathematical function two property value point equal average along circle around point provided function defined within circle,harmonic function harmonic function mathematical function two property value point equal average along circle around point provided function defined within circle,What is harmonic function?,"Harmonic function, mathematical function of two variables having the property that its value at any point is equal to the average of its values along any circle around that point, provided the function is defined within the circle. "
91,coefficient friction,coefficient friction ratio frictional force resisting motion two contact normal force pressing two together usually letter mu mathematically f frictional force n normal force f n measured force coefficient friction dimensionless coefficient friction different static friction kinetic friction static friction frictional force force applied object object remains rest force static friction overcome kinetic friction frictional force motion object,coefficient friction coefficient friction ratio frictional force resisting motion two contact normal force pressing two together usually letter mu mathematically f frictional force n normal force f n measured force coefficient friction dimensionless coefficient friction different static friction kinetic friction static friction frictional force force applied object object remains rest force static friction overcome kinetic friction frictional force motion object,What is the coefficient of friction?,"Coefficient of friction, ratio of the frictional force resisting the motion of two surfaces in contact to the normal force pressing the two surfaces together. It is usually symbolized by the Greek letter mu (μ). 

Mathematically, μ = F/N, where F is the frictional force and N is the normal force. Because both F and N are measured in units of force (such as newtons or pounds), the coefficient of friction is dimensionless. The coefficient of friction has different values for static friction and kinetic friction. In static friction, the frictional force resists force that is applied to an object, and the object remains at rest until the force of static friction is overcome. In kinetic friction, the frictional force resists the motion of an object."
92,function,h x step function also known unit step function x function discontinuous function x x x,function h x step function also known unit step function x function discontinuous function x x x,What is Heaviside function?,"H = heaviside( x ) evaluates the Heaviside step function (also known as the unit step function) at x . The Heaviside function is a discontinuous function that returns 0 for x < 0 , 1/2 for x = 0 , and 1 for x > 0 ."
93,hyperbolic function,example hyperbolic cosine function may used describe shape curve formed line suspended two see catenary hyperbolic may also used define measure distance certain geometry,hyperbolic function example hyperbolic cosine function may used describe shape curve formed line suspended two see catenary hyperbolic may also used define measure distance certain geometry,What is hyperbolic function?,"For example, the hyperbolic cosine function may be used to describe the shape of the curve formed by a high-voltage line suspended between two towers (see catenary). Hyperbolic functions may also be used to define a measure of distance in certain kinds of non-Euclidean geometry."
94,integrable function,practical integrability continuity function continuous given interval integrable interval additionally function finite number interval also integrable interval,integrable function practical integrability continuity function continuous given interval integrable interval additionally function finite number interval also integrable interval,What is an integrable function?,"In practical terms, integrability hinges on continuity: If a function is continuous on a given interval, it's integrable on that interval. Additionally, if a function has only a finite number of some kinds of discontinuities on an interval, it's also integrable on that interval."
95,polynomial,constant multiple accompany variable expression example expression,polynomial constant multiple accompany variable expression example expression,What are the coefficients of a polynomial?,"The coefficients of polynomials are the constant multiple values that accompany the variable components of the expression. For example, in the expression $x^{2} + 10x + 9$, the portions containing variables are $x^{2} + 10x$, and the coefficients of these terms are 1 and 10. "
96,,added divided new domain new function contain common original, added divided new domain new function contain common original,What are combinations of functions?,"Just as numbers can be added, subtracted, multiplied and divided, new functions can be created by applying these same operations. When adding, subtracting and multipiying, the domain of the new function will contain the x-values common to the domains of both original functions."
97,common ratio,amount multiply time geometric sequence example number times number common ratio common ratio determined dividing term preceding term,common ratio amount multiply time geometric sequence example number times number common ratio common ratio determined dividing term preceding term,What is a common ratio?,"The amount we multiply by each time in a geometric sequence. Example: 1, 2, 4, 8, 16, 32, 64, 128, 256, ... Each number is 2 times the number before it, so the Common Ratio is 2. The common ratio can be determined by dividing a term by the preceding term. "
98,comparison test series,n n n n n also sum n n n n sum n also idea test term one series smaller another sum series must smaller example series n harmonic known divergent comparison test used also assert divergence series n prior series latter latter function prior every single value summation n n series n must diverge,comparison test series n n n n n also sum n n n n sum n also idea test term one series smaller another sum series must smaller example series n harmonic known divergent comparison test used also assert divergence series n prior series latter latter function prior every single value summation n n series n must diverge,What is the comparison test for series?," If $b_{n}$ converges, and $a_{n} \leq b_{n}$ for all n, then $a_{n}$ also converges. If the sum of $b_{n}$ diverges, and  $a_{n} \leq b_{n}$ for all n, then the sum of $a_{n}$ also diverges. The idea with this test is that if each term of one series is smaller than another, then the sum of that series must be smaller.

For example, the series $[ \sum_{n=1}^{\infty} \frac{1}{n} ]$ is the harmonic, and is known to be divergent. The comparison test can be used to also assert the divergence of the series $[ \sum_{n=1}^{\infty} \frac{2}{n} ]$. As the terms in the prior series will be 1, 1/2, 1/3 .... and the latter will be 2, 1, 2/3... the latter function is larger than the prior at every single value. Because the summation of $[ \sum_{n=1}^{\infty} \frac{2}{n} >  [ \sum_{n=1}^{\infty} \frac{1}{n} ]$, the series $\frac{2}{n}$ must diverge.  "
99,demand function,demand function relationship one variable much quantity goods alternative good related goods alternative income alternative affecting demand,demand function demand function relationship one variable much quantity goods alternative good related goods alternative income alternative affecting demand,What is a demand function?,"Demand function is what describes a relationship between one variable and its determinants. It describes how much quantity of goods is purchased at alternative prices of good and related goods, alternative income levels, and alternative values of other variables affecting demand."
100,dependent variable,dependent variable variable tested measured experiment independent variable experiment researcher looking possible effect dependent variable might independent variable,dependent variable dependent variable variable tested measured experiment independent variable experiment researcher looking possible effect dependent variable might independent variable,What is a dependent variable?,"The dependent variable is the variable being tested and measured in an experiment and is 'dependent' on the independent variable. In an experiment, the researcher is looking for the possible effect on the dependent variable that might be caused by changing the independent variable."
101,derivative exponential,exponential corresponding inverse logarithmic following differentiation note exponential function f x x special property derivative function f x x f x f x f x,derivative exponential exponential corresponding inverse logarithmic following differentiation note exponential function f x x special property derivative function f x x f x f x f x,What is derivative of exponential functions?,"Exponential functions and their corresponding inverse functions, called logarithmic functions, have the following differentiation formulas: Note that the exponential function $f(x) = e^{x}$ has the special property that its derivative is the function itself,  $f'(x) = e^{x}= f(x)$. 

If $f(x)=a^x$, $a>0$, $a \neq 1$, then $f'(x) = \ln(a)*a^x$"
102,derivative integral,derivative integral function function basically two cancel like addition subtraction furthermore taking variable top limit integral x substituting function f,derivative integral derivative integral function function basically two cancel like addition subtraction furthermore taking variable top limit integral x substituting function f,What is derivative of an integral?,"The derivative of an integral of a function is just the function. Basically, the two cancel each other out like addition and subtraction. Furthermore, we're just taking the variable in the top limit of the integral, x, and substituting it into the function being integrated, f(t)."
103,derivative logarithmic,logarithmic function base exponential function base form pair mutually inverse derivative logarithmic function also found inverse function theorem x ay,derivative logarithmic logarithmic function base exponential function base form pair mutually inverse derivative logarithmic function also found inverse function theorem x ay,What is derivative of logarithmic functions?,"As the logarithmic function with base a (a>0, a≠1) and exponential function with the same base form a pair of mutually inverse functions, the derivative of the logarithmic function can also be found using the inverse function theorem. (logax)′=f′(x)=1φ′(y)=1(ay)′=1aylna=1alogaxlna=1xlna. (lnx)′=1x."
104,derivative power function,power function f x exponent derivative x,derivative power function power function f x exponent derivative x,What is derivative of a power function?,"For a power function $f(x)=x^p$, with exponent p≠0, its derivative is $f′(x)=df/dx=px^{p−1}$."
105,derivative power series,within interval convergence derivative power series sum individual x x,derivative power series within interval convergence derivative power series sum individual x x,What is derivative of a power series?,"Within its interval of convergence, the derivative of a power series is the sum of derivatives of individual terms: [Σf(x)]'=Σf'(x)."
106,derivative slope tangent,derivative function us slope line tangent function point graph used find equation tangent line,derivative slope tangent derivative function us slope line tangent function point graph used find equation tangent line,What is derivative as the slope of a tangent?,The derivative of a function gives us the slope of the line tangent to the function at any point on the graph. This can be used to find the equation of that tangent line.
107,trigonometric,basic trigonometric quotient rule easy obtain expression derivative tangent,trigonometric basic trigonometric quotient rule easy obtain expression derivative tangent,What are derivatives of trigonometric functions?,"Derivatives of Basic Trigonometric Functions are as follows: (sinx)′=cosx,(cosx)′=−sinx. Using the quotient rule it is easy to obtain an expression for the derivative of tangent: (tanx)′=(sinxcosx)′=(sinx)′cosx−sinx(cosx)′cos2x=cosx⋅cosx−sinx⋅(−sinx)cos2x=cos2x+sin2xcos2x=1cos2x."
108,inverse trigonometric function,inverse trigonometric simply defined inverse basic trigonometric sine cosine tangent cotangent secant cosecant inverse trigonometry used get angle trigonometry,inverse trigonometric function inverse trigonometric simply defined inverse basic trigonometric sine cosine tangent cotangent secant cosecant inverse trigonometry used get angle trigonometry,What is an inverse trigonometric function?,"Inverse trigonometric functions are simply defined as the inverse functions of the basic trigonometric functions which are sine, cosine, tangent, cotangent, secant, and cosecant functions. ... These inverse functions in trigonometry are used to get the angle with any of the trigonometry ratios."
109,limit function,mathematics limit value function sequence input index value essential calculus mathematical analysis used define continuity,limit function mathematics limit value function sequence input index value essential calculus mathematical analysis used define continuity,What is limit of function?,"In mathematics, a limit is the value that a function (or sequence) ""approaches"" as the input (or index) ""approaches"" some value. Limits are essential to calculus and mathematical analysis, and are used to define continuity, derivatives, and integrals.  (duplicated edited by Fanbo)"
110,devil curve,devil curve curve defined plane equation form devil studied heavily name comes shape central lemniscate,devil curve devil curve curve defined plane equation form devil studied heavily name comes shape central lemniscate,What is a devil’s curve?,"A Devil's curve is a curve defined in the Cartesian plane by an equation of the form
$y^{2}(y^{2} - b^{2})=x^{2}(x^{2} - a^{2})$.

Devil's curves were studied heavily by Gabriel Cramer.

The name comes from the shape its central lemniscate takes when graphed."
111,continuity differentiable function,function f said continuously differentiable derivative x continuous function although derivative differentiable function never jump discontinuity possible derivative essential discontinuity,continuity differentiable function function f said continuously differentiable derivative x continuous function although derivative differentiable function never jump discontinuity possible derivative essential discontinuity,What is continuity of differentiable function?,"A function f is said to be continuously differentiable if the derivative f′(x) exists and is itself a continuous function. Although the derivative of a differentiable function never has a jump discontinuity, it is possible for the derivative to have an essential discontinuity."
112,differential equation,first order differential equation equation form f solution first order differential equation function f f f every value,differential equation first order differential equation equation form f solution first order differential equation function f f f every value,What is differential equation first-order?,"A first order differential equation is an equation of the form F(t,y,˙y)=0. A solution of a first order differential equation is a function f(t) that makes F(t,f(t),f′(t))=0 for every value of t."
113,order differential equation,order differential equation order highest derivative also known differential coefficient present equation example x equation order highest derivative hence third order differential equation,order differential equation order differential equation order highest derivative also known differential coefficient present equation example x equation order highest derivative hence third order differential equation,What is order of differential equation?,"Order of a differential equation is the order of the highest derivative (also known as differential coefficient) present in the equation. Example (i): \frac{d^3 x}{dx^3} + 3x\frac{dy}{dx} = e^y. In this equation, the order of the highest derivative is 3 hence, this is a third order differential equation."
114,orthogonal,two perpendicular intersection said orthogonal,orthogonal two perpendicular intersection said orthogonal,What is orthogonal curves?,Two (or more) intersecting curves that are perpendicular at their intersection are said to be orthogonal.
115,marginal profit function,marginal profit derivative profit function based cost function revenue function definition c x cost x marginal cost x x x,marginal profit function marginal profit derivative profit function based cost function revenue function definition c x cost x marginal cost x x x,What is the marginal profit function?,"The marginal profit is the derivative of the profit function, which is based on the cost function and the revenue function. Definition. If C(x) is the cost of producing x items, then the marginal cost MC(x) is MC(x)=C′(x)."
116,marginal revenue function,rate total revenue slope revenue curve first derivative revenue function interested finding firm marginal revenue profit maximization output point marginal revenue marginal cost,marginal revenue function rate total revenue slope revenue curve first derivative revenue function interested finding firm marginal revenue profit maximization output point marginal revenue marginal cost,What is the marginal revenue function?,It is the rate at which total revenue changes. It equals the slope of the revenue curve and first derivative of the revenue function. Economists are interested in finding a firm's marginal revenue because its profit maximization output occurs at a point at which its marginal revenue equals its marginal cost.
117,maximum minimum function,say function f x relative minimum value x b f b less value immediately preceding function may fact less value function value either maximum minimum extreme value,maximum minimum function say function f x relative minimum value x b f b less value immediately preceding function may fact less value function value either maximum minimum extreme value,What is maximum and minimum values of function?,"We say that a function f(x) has a relative minimum value at x = b, if f(b) is less than any value immediately preceding or follwing. Again, other values of the function may in fact be less. ... The value of the function, the value of y, at either a maximum or a minimum is called an extreme value."
118,orthogonal,definition say orthogonal perpendicular dot product two zero set every vector magnitude set mutually orthogonal,orthogonal definition say orthogonal perpendicular dot product two zero set every vector magnitude set mutually orthogonal,What is orthogonal vectors?,Definition. We say that 2 vectors are orthogonal if they are perpendicular to each other. i.e. the dot product of the two vectors is zero. ... A set of vectors S is orthonormal if every vector in S has magnitude 1 and the set of vectors are mutually orthogonal.
119,plane,plane plane space affine space point way second order contact point word osculate past participle meaning kiss plane thus plane,plane plane plane space affine space point way second order contact point word osculate past participle meaning kiss plane thus plane,What is osculating plane?,"An osculating plane is a plane in a Euclidean space or affine space which meets a submanifold at a point in such a way as to have a second order of contact at the point. 

The word osculate is from the Latin osculatus which is a past participle of osculari, meaning to kiss.

An osculating plane is thus a plane which ""kisses"" a submanifold."
120,,oval quartic plane curve defined set plane product two fixed constant may ellipse sum constant rather product special case polynomial polynomial used degree, oval quartic plane curve defined set plane product two fixed constant may ellipse sum constant rather product special case polynomial polynomial used degree,What is ovals of Cassini?,"A Cassini oval is a quartic plane curve defined as the set of points in the plane such that the product of the distances to two fixed points is constant. This may be contrasted with an ellipse, for which the sum of the distances is constant, rather than the product. Cassini ovals are the special case of polynomial lemniscuses when the polynomial used has degree 2."
121,natural exponential function,natural exponential function f x ex unique function equal derivative initial value f hence one may define e f natural logarithm logarithm base e inverse function natural exponential function,natural exponential function natural exponential function f x ex unique function equal derivative initial value f hence one may define e f natural logarithm logarithm base e inverse function natural exponential function,What is the natural exponential function?,"The (natural) exponential function f(x) = ex is the unique function which is equal to its own derivative, with the initial value f(0) = 1 (and hence one may define e as f(1)). The natural logarithm, or logarithm to base e, is the inverse function to the natural exponential function."
122,natural logarithm,natural logarithm number n power exponent e raised equal constant e constant approximately equal n x n natural logarithm mostly used pure mathematics calculus,natural logarithm natural logarithm number n power exponent e raised equal constant e constant approximately equal n x n natural logarithm mostly used pure mathematics calculus,What is the natural logarithm?,"The natural logarithm of a number N is the power or exponent to which 'e' has to be raised to be equal to N. The constant 'e' is the Napier constant and is approximately equal to 2.718281828. ln N = x, which is the same as N = $e^x$. Natural logarithm is mostly used in pure mathematics such as calculus."
123,non integrable function,non integrable function one definite integral ca assigned value example function integrable ca assign integral number,non integrable function non integrable function one definite integral ca assigned value example function integrable ca assign integral number,What is a non integrable function?,A non integrable function is one where the definite integral can't be assigned a value. For example the Dirichlet function isn't integrable. You just can't assign that integral a number.
124,non differentiable function,function differential case one variable function finite derivative,non differentiable function function differential case one variable function finite derivative,What is non differentiable function?,A function that does not have a differential. In the case of functions of one variable it is a function that does not have a finite derivative.
125,odd function,function f odd graph f symmetric respect origin algebraically f odd f x x domain f,odd function function f odd graph f symmetric respect origin algebraically f odd f x x domain f,What is an odd function?,"A function f is odd if the graph of f is symmetric with respect to the origin. Algebraically, f is odd if and only if f(-x) = -f(x) for all x in the domain of f. "
126,piecewise function,piecewise function function built different different,piecewise function piecewise function function built different different,What is a piecewise function?,"A piecewise function is a function built from pieces of different functions over different intervals.


![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+1.25.04+PM.png)"
127,polynomial function,polynomial function function integer positive integer variable equation like quadratic equation cubic equation example polynomial exponent equal,polynomial function polynomial function function integer positive integer variable equation like quadratic equation cubic equation example polynomial exponent equal,What is a polynomial function?,"A polynomial function is a function that involves only non-negative integer powers or only positive integer exponents of a variable in an equation like the quadratic equation, cubic equation, etc. For example, 2x+5 is a polynomial that has exponent equal to 1."
128,paraboloid,geometry paraboloid quadric surface exactly one axis symmetry center symmetry term paraboloid derived parabola conic section similar property symmetry general equation type paraboloid z b surface parallel plane produce figure paraboloid revolution,paraboloid geometry paraboloid quadric surface exactly one axis symmetry center symmetry term paraboloid derived parabola conic section similar property symmetry general equation type paraboloid z b surface parallel plane produce figure paraboloid revolution,What is paraboloid?,"In geometry, a paraboloid is a quadric surface that has exactly one axis of symmetry and no center of symmetry. The term ""paraboloid"" is derived from parabola, which refers to a conic section that has a similar property of symmetry. The general equation for this type of paraboloid is $x^2/a^2 + y^2/b^2 = z$. If a = b, intersections of the surface with planes parallel to and above the xy plane produce circles, and the figure generated is the paraboloid of revolution."
129,parallel,parallel plane meet two straight plane intersect point said parallel parallel space never meet,parallel parallel plane meet two straight plane intersect point said parallel parallel space never meet,What is parallel planes?,"Parallel lines are lines in a plane which do not meet; that is, two straight lines in a plane that do not intersect at any point are said to be parallel. Parallel planes are planes in the same three-dimensional space that never meet."
130,parallel,parallel direction one vector must ratio corresponding parallel vector,parallel parallel direction one vector must ratio corresponding parallel vector,What is parallel vectors?,Vectors are parallel if they have the same direction. Both components of one vector must be in the same ratio to the corresponding components of the parallel vector.
131,parallelepiped,parallelepiped figure formed six,parallelepiped parallelepiped figure formed six,What is parallelepiped?,A parallelepiped is a three-dimensional figure formed by six parallelograms.
132,parametric curve,parametric equation group one independent parametric commonly used express make geometric object curve surface case collectively parametric representation alternatively object simply put parametric curve normal curve choose define curve x another variable simplicity elegance,parametric curve parametric equation group one independent parametric commonly used express make geometric object curve surface case collectively parametric representation alternatively object simply put parametric curve normal curve choose define curve x another variable simplicity elegance,What is parametric curve?,"A parametric equation defines a group of quantities as functions of one or more independent variables called parameters. Parametric equations are commonly used to express the coordinates of the points that make up a geometric object such as a curve or surface, in which case the equations are collectively called a parametric representation or parameterization (alternatively spelled as parametrization) of the object. Simply put, a parametric curve is a normal curve where we choose to define the curve's x and y values in terms of another variable for simplicity or elegance. "
133,tangent parametric curve,slope tangent line parametric curve defined parametric x g given parametric curve horizontal tangent wherever curve concave positive concave negative,tangent parametric curve slope tangent line parametric curve defined parametric x g given parametric curve horizontal tangent wherever curve concave positive concave negative,What is tangent to parametric curve?,"The slope of the tangent line of a parametric curve defined by parametric equations x = /(t), y = g(t) is given by dy/dx = (dy/dt)/(dx/dt). A parametric curve has a horizontal tangent wherever dy/dt = 0 and dx/dt = 0. The curve is concave up when $d^2y/dx^2$ is positive, and concave down if it is negative."
134,parametric,parametric equation type equation independent variable parameter often dependent defined continuous parameter dependent another variable,parametric parametric equation type equation independent variable parameter often dependent defined continuous parameter dependent another variable,What is parametric equations?,"Parametric equation, a type of equation that employs an independent variable called a parameter (often denoted by t) and in which dependent variables are defined as continuous functions of the parameter and are not dependent on another existing variable."
135,power function,power function function single term product real number coefficient variable raised fixed real number number variable raised exponent known coefficient function g x whole power square root function x exponent real number also power function,power function power function function single term product real number coefficient variable raised fixed real number number variable raised exponent known coefficient function g x whole power square root function x exponent real number also power function,What is a power function?,"A power function is a function with a single term that is the product of a real number, a coefficient, and a variable raised to a fixed real number. ( A number that multiplies a variable raised to an exponent is known as a coefficient.)

The function $y = -5x^{2}$ and $g(x) = 2x^{3}$ are functions with whole numbers as their exponents, so they are power functions. The square root function, $y = 2 \sqrt{x}$, can be rewritten as $y = 2x^{\frac{1}{2}}$, so its exponent is a real number, so it is also a power function."
136,range function,range function complete set possible resulting dependent variable usually substituted domain range resulting get substituting possible,range function range function complete set possible resulting dependent variable usually substituted domain range resulting get substituting possible,What the range of a function?,"The range of a function is the complete set of all possible resulting values of the dependent variable (y, usually), after we have substituted the domain. The range is the resulting y-values we get after substituting all the possible x-values. "
137,symmetry function,symmetrical reflect graph get graph reflect get graph two symmetry call even odd,symmetry function symmetrical reflect graph get graph reflect get graph two symmetry call even odd,What is symmetry of function?,"Functions can be symmetrical about the y-axis, which means that if we reflect their graph about the y-axis we will get the same graph. There are other functions that we can reflect about both the x- and y-axis and get the same graph. These are two types of symmetry we call even and odd functions. "
138,fundamental theorem calculus line,gradient theorem also known fundamental theorem calculus line line integral gradient field original scalar field curve gradient vector field,fundamental theorem calculus line gradient theorem also known fundamental theorem calculus line line integral gradient field original scalar field curve gradient vector field,What is Fundamental Theorem of Calculus for line integrals?,"The gradient theorem, also known as the fundamental theorem of calculus for line integrals, says that a line integral through a gradient field can be evaluated by evaluating the original scalar field at the endpoints of the curve. ... (where ∇φ denotes the gradient vector field of φ)."
139,fundamental theorem calculus vector,fundamental vector calculus state integral type derivative object equal function along boundary object speak fundamental language,fundamental theorem calculus vector fundamental vector calculus state integral type derivative object equal function along boundary object speak fundamental language,What is Fundamental Theorem of Calculus for vector functions?,The fundamental theorems of vector calculus state that an integral of some type of derivative over some object is equal to the values of function along the boundary of that object. ... We can speak of all the fundamental theorems using the same language.
140,parametric line space,parametric parametric line curve surface variable usually written parametric denote x graph curve plane,parametric line space parametric parametric line curve surface variable usually written parametric denote x graph curve plane,What is parametric equations of a line in space?,"Parametric equations - parametric equations of line. When Cartesian coordinates of a curve or a surface are represented as functions of the same variable (usually written t), they are called the parametric equations. denote the x and y coordinate of the graph of a curve in the plane."
141,parametric surface,x x u v u v z z u v parametric surface two independent variable u v parametric surface written shortly r u v u v u v z u v,parametric surface x x u v u v z z u v parametric surface two independent variable u v parametric surface written shortly r u v u v u v z u v,What is parametric equations of a surface?,"Equations: x = x(u, v) y = y(u, v) z = z(u, v) is referred to as a parametric surface and the two independent variable u and v as parameters. The equations above are called the parametric equations of the surface. These equations can be written shortly as r(u, v) = 〈x(u, v),y(u, v),z(u, v)〉."
142,parametric trajectory,x pair parametric circle indeed goes point x circumference circle,parametric trajectory x pair parametric circle indeed goes point x circumference circle,What is parametric equations of a trajectory?,"x = cosθ y = sinθ 0 ≤ θ ≤ 2π is a pair of parametric equations describing the circle. Indeed, as θ goes from 0 to 2π, the point (x, y) traverses the circumference of the circle."
